"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"SKBIANCHE";"NUMVOTISI";"NUMVOTINO"
"LOMBARDIA";"COMO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";456873;219398;"136375";"67980";"11772";"93725";26024
"LOMBARDIA";"COMO";"5";"Incarichi extragiudiziari dei magistrati";456873;219398;"134789";"67075";"12909";"90062";27245
"LOMBARDIA";"COMO";"3";"Elezione del Consiglio Superiore della Magistratura";456873;219398;"134176";"66780";"17273";"80209";31001
"LOMBARDIA";"COMO";"4";"Ordinamento giudiziario";456873;219398;"134568";"66986";"14340";"83040";32188
"LOMBARDIA";"COMO";"6";"Licenziamenti";456873;219398;"137215";"68341";"6749";"46746";80568
"LOMBARDIA";"COMO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";456873;219398;"136364";"67902";"9690";"75559";47213
"CALABRIA";"COSENZA";"4";"Ordinamento giudiziario";643141;316031;"149798";"81134";"19507";"95307";26073
"CALABRIA";"COSENZA";"6";"Licenziamenti";643141;316031;"150457";"81529";"12721";"52132";77757
"CALABRIA";"COSENZA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";643141;316031;"149930";"81228";"16568";"89668";34730
"CALABRIA";"COSENZA";"5";"Incarichi extragiudiziari dei magistrati";643141;316031;"149902";"81175";"17864";"100656";22742
"CALABRIA";"COSENZA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";643141;316031;"150529";"81572";"15731";"106512";19754
"CALABRIA";"COSENZA";"3";"Elezione del Consiglio Superiore della Magistratura";643141;316031;"149696";"81075";"21011";"94351";24987
"CALABRIA";"COSENZA";"1";"Rimborso spese per consultazioni elettorali e referendarie";643141;316031;"150092";"81315";"15799";"99704";25927
"LOMBARDIA";"CREMONA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";282510;135054;"96990";"48313";"9813";"45497";38903
"LOMBARDIA";"CREMONA";"3";"Elezione del Consiglio Superiore della Magistratura";282510;135054;"95863";"47599";"14366";"52867";25326
"LOMBARDIA";"CREMONA";"6";"Licenziamenti";282510;135054;"97833";"48736";"6107";"27132";62354
"LOMBARDIA";"CREMONA";"5";"Incarichi extragiudiziari dei magistrati";282510;135054;"95696";"47611";"12652";"55147";24497
"LOMBARDIA";"CREMONA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";282510;135054;"96605";"49053";"11849";"60055";21201
"LOMBARDIA";"CREMONA";"1";"Rimborso spese per consultazioni elettorali e referendarie";282510;135054;"96380";"48041";"9770";"54937";28640
"LOMBARDIA";"CREMONA";"4";"Ordinamento giudiziario";282510;135054;"95577";"48273";"13676";"50017";28404
"PIEMONTE";"CUNEO";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";466277;226976;"151340";"76663";"16404";"84280";45206
"PIEMONTE";"CUNEO";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";466277;226976;"151927";"77034";"17555";"102631";25490
"PIEMONTE";"CUNEO";"3";"Elezione del Consiglio Superiore della Magistratura";466277;226976;"149870";"75902";"25496";"86358";30640
"PIEMONTE";"CUNEO";"4";"Ordinamento giudiziario";466277;226976;"150241";"76098";"22335";"89709";31676
"PIEMONTE";"CUNEO";"5";"Incarichi extragiudiziari dei magistrati";466277;226976;"150465";"76203";"19673";"98052";26793
"PIEMONTE";"CUNEO";"6";"Licenziamenti";466277;226976;"152511";"77259";"10380";"49570";88552
"PIEMONTE";"CUNEO";"1";"Rimborso spese per consultazioni elettorali e referendarie";466277;226976;"151454";"76744";"14755";"100050";31074
"SICILIA";"ENNA";"4";"Ordinamento giudiziario";184897;90599;"42815";"22538";"5985";"26503";7211
"SICILIA";"ENNA";"1";"Rimborso spese per consultazioni elettorali e referendarie";184897;90599;"42847";"22560";"4945";"27143";7662
"SICILIA";"ENNA";"3";"Elezione del Consiglio Superiore della Magistratura";184897;90599;"42778";"22513";"6390";"25746";7329
"SICILIA";"ENNA";"5";"Incarichi extragiudiziari dei magistrati";184897;90599;"42832";"22548";"5517";"27699";6561
"SICILIA";"ENNA";"7";"Trattenute associative e sindacali tramite gli enti previdenziali";184897;90599;"42816";"22536";"5343";"24987";9449
"SICILIA";"ENNA";"6";"Licenziamenti";184897;90599;"42854";"22559";"4371";"14596";21191
"SICILIA";"ENNA";"2";"Elezione Camera dei Deputati (abolizione del voto di lista)";184897;90599;"42904";"22592";"5259";"28130";6321
"EMILIA-ROMAGNA";"FERRARA";"6";"Licenziamenti";310698;147041;"148352";"73057";"7730";"39672";98395
"EMILIA-ROMAGNA";"FERRARA";"1";"Rimborso spese per consultazioni elettorali e referendarie";310698;147041;"147284";"72535";"12308";"75271";56696
"EMILIA-ROMAGNA";"FERRARA";"3";"Elezione del Consiglio Superiore della Magistratura";310698;147041;"146138";"71931";"19869";"68183";54071
"EMILIA-ROMAGNA";"FERRARA";"4";"Ordinamento giudiziario";310698;147041;"146437";"72092";"16920";"69396";56701
"EMILIA-ROMAGNA";"FERRARA";"5";"Incarichi extragiudiziari dei magistrati";310698;147041;"146530";"72127";"16359";"76791";50118
